Province,DHI201401,DHI201402,DHI201403,DHI201404,DHI201405,DHI201406,DHI201407,DHI201408,DHI201409,DHI201410,DHI201411,DHI201412,DHI201501,DHI201502,DHI201503,DHI201504,DHI201505,DHI201506,DHI201507,DHI201508,DHI201509,DHI201510,DHI201511,DHI201512,DHI201601,DHI201602,DHI201603,DHI201604,DHI201605,DHI201606,DHI201607,DHI201608,DHI201609,DHI201610,DHI201611,DHI201612
Gia Lai,0.6642557239782689,0.6553707110772162,0.5689112855943,0.5652545119398148,0.5868335929432923,0.6359268073759666,0.6497851427326153,0.7125787543741844,0.5537890863905759,0.43656259847008005,0.5325073333292333,0.4513318315947996,0.4497690450839734,0.2749064916009778,0.49777003079564025,0.6161730569343925,0.5229932607879867,0.39230184684694036,0.3649059867846515,0.44642752762218657,0.4646502761340696,0.563305157510256,0.533584168682287,0.5708303547711723,0.6809418895030266,0.6149147849137588,0.595808719391352,0.69395119431525365,0.6803339623263254,0.5404423966107909,0.5487039065349419,0.5258993755246374,0.35545309866342334,0.2664428976448557,0.259000870478802,0.2646672448109851
Ha Giang,0.33663258808063107,0.12583705664676226,0.41424246340052084,0.6484825010817674,0.51344101351373,0.3595296662793098,0.3549351120169705,0.2630856199590197,0.20767253337163716,0.23008998041460138,0.3155875515923749,0.36845428637402766,0.18949263640263794,0.3824586581752539,0.3211336228039812,0.4535968606748351,0.21999847950819315,0.31162393536593047,0.45490941581939015,0.5100256652951176,0.28675018913828815,0.2742523487050064,0.268294101725883,0.20469075135193718,0.20332622184578286,0.29661293635384417,0.33081700282999427,0.2976866618409754,0.2984539167914166,0.5612625718024639,0.6021737735378211,0.6264588222588701,0.5532253703207151,0.5068984596382362,0.5068267545218527,0.6596283805280857
Ha Nam,0.5540299143336072,0.5397333883991728,0.27151402038993505,0.3035086290211358,0.06935483768561623,0.34133138650312056,0.4179645881915394,0.20428346397927427,0.31951120611718803,0.4689915576043433,0.38390058275837985,0.45145685136876995,0.402798515800798,0.42757968144907355,0.26480624108673984,0.3654446397924826,0.4569108959079163,0.4718823528243671,0.399547722904355,0.48077230670431553,0.27256885522735347,0.38938884846984834,0.28944877329903473,0.31232217102659277,0.20942896553241916,0.33181488423230326,0.2823719145862516,0.34023988489116547,0.4336041593878618,0.5019343443447455,0.5525829604451166,0.508240242227877,0.429581421810446,0.5843922350300678,0.563471466534236,0.6731948893421373
Ha Noi,0.5911838583979451,0.4462943843650067,0.2799334585960991,0.3723252244970806,0.2332079693194266,0.434167763635393,0.519447863397674,0.42447680998454407,0.3818947648742247,0.27223770085464943,0.2639817823989238,0.45064510070986563,0.3666572165274668,0.41866336216749006,0.33231831008119356,0.47490614449729607,0.4281454329667877,0.3749120565892765,0.39062508526313094,0.5379643961159756,0.3089190948976596,0.2817331982944945,0.16576943504767402,0.2263921970032548,0.18223113444067876,0.3513444751588502,0.3551731442403334,0.3278079151817073,0.4352408076482102,0.5433638130924313,0.4389973732339697,0.47848208826318495,0.4371414967738554,0.580078505363131,0.6203665574605751,0.6957287381427844
Ha Tinh,0.6862114171444957,0.4979241818603421,0.4746459899362296,0.6444912147569444,0.6884239336606066,0.368818509470339,0.3132045347038881,0.37636693458983733,0.6309489865176602,0.4182168140453826,0.5498561645893795,0.5748946351673638,0.6197472573530979,0.4869283022133076,0.3880466565266635,0.330137950152488,0.4980766082258054,0.46365417039579404,0.23431475863137205,0.4060761533931155,0.39243633630887664,0.5219677455768962,0.5339507408670816,0.6532964862298276,0.633632480471437,0.6112071885031608,0.49150693491090636,0.42562336009401847,0.3871293270584901,0.3752057197919804,0.4835136305046252,0.5505215444671002,0.3887626709727201,0.30420117766771276,0.29371536153233857,0.44844301076072896
Hai Duong,0.4661304280589017,0.43573585532854625,0.26406090588017306,0.45496630378059516,0.3576915033619644,0.4347269204918319,0.44597239854443216,0.549006675812763,0.4146160765502916,0.4209505374614098,0.36576056033270354,0.44120621143072475,0.3655321833277712,0.34608853732271205,0.41350300925153133,0.6034569352566781,0.6215236815745027,0.5067144012843832,0.4856359297800061,0.47599436772880843,0.3251789822770251,0.20499017450175802,0.2795762181422165,0.3915259064112918,0.22877587231913576,0.2585440219210468,0.34977925203505106,0.3475342563469244,0.4380416379093135,0.2802064381821445,0.35259971973599996,0.3980101168266991,0.38148213174172757,0.5185487584744402,0.49883030162611525,0.7383373706833223
Hai Phong,0.47665029920049723,0.5153995045960917,0.30845921561867257,0.4841837062672424,0.4383398702420251,0.6308178732102018,0.5062338653597134,0.5403684867414513,0.4326981069541351,0.559404563714444,0.5005137941420146,0.5652398504497287,0.4634010824200249,0.44283375277129217,0.45703606845565165,0.6079345166715815,0.6114643062112692,0.5963666965676367,0.5988040859804727,0.5357923537881335,0.36931691024271673,0.3223421804020777,0.38312348407143937,0.40754704655626056,0.2828194003256735,0.3137997855141768,0.3597607629131791,0.35191063498122405,0.44977357851291316,0.34833913663107857,0.4077991098525912,0.46474687884099525,0.452259043545096,0.6000482057981401,0.5594303225644733,0.7506671068711726
Hau Giang,0.5688921024483047,0.3434006264701006,0.3265717807879365,0.5723244050304618,0.5026481384970486,0.5399904387469268,0.5080727734306512,0.5301922277582125,0.5013764867204605,0.5571965617227878,0.6697955171931729,0.5315316763368738,0.4086566211637204,0.43002533386282543,0.5666931340227747,0.655152516429145,0.6485408933004516,0.5198948432940618,0.6395263622516695,0.7236886792760836,0.7146060965698993,0.6719312273815813,0.7050973483292148,0.694924067967745,0.6879501919511974,0.7161007180259378,0.7161301104995235,0.6769089125311875,0.5960360106626391,0.6025377297734049,0.4387357828059698,0.5673255693526575,0.6274580986600377,0.5134445854749766,0.5786490619347234,0.4903906094179616
Ho Chi Minh,0.6964022138349896,0.5522677960405242,0.23041612362675623,0.5751204841144429,0.6606270312400861,0.6665786202195289,0.5984614972111626,0.6565318066694663,0.665180999243181,0.8393568943769774,0.8771708374753489,0.9091923552391488,0.7234025975734234,0.6159702937085935,0.4895868716099693,0.619467544266265,0.6594392864778124,0.5820696763039966,0.6919186892525323,0.6991665895179435,0.6596210514124637,0.45387712782807554,0.5566562926306363,0.6132900245448829,0.8112058251333317,0.704975583943859,0.6272196440885516,0.6460918362463514,0.6201873083621264,0.6080042475155981,0.6521435732075107,0.5657951387526298,0.4689803475776532,0.25005214629557965,0.39391588587672466,0.40284953762554315
Hoa Binh,0.4749316150581825,0.38254180342872485,0.20620821388613325,0.2162242669165264,0.030118578366764515,0.2002022454249543,0.48964282360447253,0.34093866648870186,0.14829441365233131,0.1811042413203991,0.2967468342114547,0.40315566927678437,0.29132933248608645,0.3541691385674004,0.21512247521548455,0.32210375086367854,0.36026850061461485,0.3689761009750736,0.4578215903667746,0.580333258926788,0.288081000743185,0.30408249366531204,0.23997642248170092,0.25611414295663804,0.1854995882071735,0.2084637049449264,0.2547102849503527,0.34603517563082303,0.3726299937598349,0.5089670418796728,0.5523147681714453,0.485700464299364,0.29038028904222923,0.34123080004091,0.39676528717808723,0.5756277778191277
Hung Yen,0.49482138894347066,0.5045756690143484,0.37236761154474024,0.42836827687666396,0.2991196404217032,0.4473171640388693,0.5220173244719324,0.37344365927385775,0.33085794717723743,0.30874432849754857,0.20808432480742334,0.35073199361288104,0.33425724748926616,0.4174772173831751,0.33277515796712914,0.4281163855859355,0.5292642309335144,0.4892227347997737,0.5048964235668804,0.5518320981131012,0.3394335631194754,0.24869484310164772,0.17600359629692747,0.27450795870885514,0.1768960465480575,0.32487521412574943,0.37960407727966156,0.33881536792828376,0.45357196189024335,0.44901727523503676,0.46046799757383033,0.45126471943548424,0.3806152968541226,0.4822989254796039,0.5118137852122022,0.6847228009248464
Khanh Hoa,0.5661598394936092,0.5625054825672583,0.4959958219110111,0.7871858716716489,0.6936664495654129,0.690053830874058,0.36358005757202805,0.5150788985948387,0.4320130423155585,0.5707699359862943,0.6689771244518203,0.6799790004929256,0.5659134262034597,0.4928822442692397,0.6606415154436613,0.7246144681697949,0.6572104063464227,0.5994865895122237,0.5748322266088703,0.48755610070421146,0.5403016242661889,0.5525192568980466,0.4817619237287683,0.5310048139410977,0.696482827242827,0.6518592181501305,0.5537069751958104,0.559990932258837,0.5556541926099999,0.42864600434098626,0.4316081473442247,0.4545641756413495,0.3205125257273773,0.24001628340912293,0.41393609881823945,0.41630854189976757
Kien Giang,0.5174276064103314,0.37422253830919766,0.33398440663890405,0.5558220632969975,0.47697138371177816,0.4784269739637644,0.46522856022109876,0.56796298239262,0.5904043879044907,0.6575095484857205,0.6146692651043106,0.32447659341861873,0.33554673449739214,0.5071764276325315,0.7023857606888526,0.7811557188563397,0.7743430239686911,0.58934368875628,0.6124295014372636,0.6883490745247417,0.6970963843779884,0.708512540587617,0.6421513980414782,0.6112145822793527,0.6404683046564884,0.7222273526983338,0.714199121887294,0.7396063475890159,0.6455413167742197,0.6148540820181543,0.4345964511567997,0.5893016139471863,0.6940622310205821,0.6458223979646119,0.525592052306093,0.345305021206817
Kon Tum,0.5312656033498586,0.6066059670352656,0.6066050979762602,0.6282809974496855,0.5813222199246787,0.6131043271337048,0.5726272152727978,0.6042779303482699,0.4630319002760775,0.38754077992975444,0.5599135470918237,0.5247988396758811,0.49297941462018263,0.31600746856494816,0.45896131734016365,0.4894044230457809,0.44886279760844555,0.37836527468789377,0.4004792684229443,0.5002140991977426,0.5312216714057606,0.5602243160969671,0.5439936659156709,0.5936396527222092,0.6181592757751674,0.5657474376912599,0.54725828738686,0.6783531561363766,0.6647425945110592,0.5900728952383296,0.6248444040595118,0.6734357247013975,0.5144877904691317,0.4266756407958747,0.40100716653382523,0.4026855758487206
Lai Chau,0.2582353420736129,0.1574954435415769,0.4109986415388845,0.6556850974649692,0.6891020660671221,0.6351870018047139,0.5286142080410714,0.3701717579344732,0.2130868576439352,0.24620188697922574,0.41886874806116575,0.443878418653896,0.1585079122061262,0.3274305704427119,0.18147539246610736,0.2942510752549052,0.34899600189706587,0.39194593394115984,0.45080685450979763,0.4151616851222127,0.27563239123825767,0.2756298722983999,0.3288909701943324,0.17116285775066478,0.2151553560584009,0.12992085938969575,0.20611694885802365,0.32447789106143776,0.32161710191190107,0.4835819024621386,0.5915758716745902,0.661601851014275,0.6168099505222983,0.5080937616056432,0.5617412946171751,0.6167569708573484
Lam Dong,0.6601889476423753,0.6268416100797264,0.47373864315305275,0.647204820054836,0.5885824155753479,0.5337511679477267,0.3832762423636266,0.4232413369086795,0.4110790276577296,0.38935838331626177,0.573889927080363,0.7323811987335689,0.6437977720533219,0.5334680662499296,0.7239060145466137,0.6192201486390206,0.517362890930102,0.4047246133183727,0.4355279098861721,0.4901028771859188,0.5251553745675174,0.4976733316962986,0.49347627455304227,0.4917766160145941,0.6225158629170786,0.5408720409655082,0.5088394630411552,0.6011409115638005,0.5226655572507273,0.47514389052707334,0.4514319186970989,0.49387278695949144,0.5390328498106997,0.347032164407174,0.3435840025471555,0.2967691979471546
Lang Son,0.028246166438188114,0.26010311613058673,0.39644613828862546,0.6197526732430743,0.3690512312647028,0.43315696504216256,0.33506793065461793,0.3696996323959125,0.1253293320668255,0,0.04617230845143605,0.20421724608866032,0.20153054174845303,0.3262170713033483,0.40865380578513166,0.522153356033076,0.2769203751178539,0.2993896428616984,0.3100380405896383,0.4150361422170649,0.17812208352995645,0.15800931372096708,0.13616112876784175,0.10513621063542812,0.15166482149601457,0.25078520751997113,0.3134258392838531,0.3326970104108128,0.35790192539127,0.4883476873187334,0.5650272535534069,0.5206186445389255,0.4745130225219678,0.3296972939051755,0.39339174881343564,0.5202056553574688
Lao Cai,0.2972172631841172,0.11427393466373108,0.47801190622504874,0.7530231226320481,0.7224100634379859,0.5605567915143165,0.40747027673192515,0.19399206103098926,0.09387664283785052,0.2068335604585959,0.42449179658189196,0.46426177049366263,0.16118564944953206,0.32701425270222817,0.23127067974853477,0.3883852901385359,0.34725321409842735,0.30822549044394204,0.37147275599520485,0.38668957216319993,0.22606618340735798,0.3098002955706371,0.33077468378782116,0.19207632395016364,0.23653203082270788,0.22076875734704027,0.28377627694877,0.3261977954399919,0.22066771960924947,0.36918900121326864,0.46125477163955425,0.5733514956239211,0.5272873104849307,0.5255093783790447,0.5774612586868112,0.6679917905007694
Long An,0.5405521539740448,0.3317788411771327,0.12860291788427153,0.5086553471548088,0.5362453213285936,0.43056251269872414,0.36077993084604,0.6247953112156764,0.7435242664100397,0.80237265324903,0.837300616318956,0.7676442575921489,0.48538476079450416,0.4297332871066584,0.43987269019459424,0.5458869837737653,0.6201755230807521,0.4668659801409885,0.5575484772341861,0.6509074515531558,0.5907652896644139,0.4323478279434319,0.47649920173830923,0.5145315651630454,0.6449394076064323,0.5779989333479408,0.5473317766839623,0.6248189749712612,0.5350844433578535,0.459902192678009,0.4017157180007719,0.4933409305085151,0.45616666813110784,0.2957843035240367,0.34119329085850547,0.29251985154745946
Nam Dinh,0.620794936612585,0.6167521452884615,0.33017559455516454,0.4879678085281247,0.25402816963352015,0.3202547971343673,0.3057493381325538,0.1706257981093784,0.3250187849121084,0.6240916726484954,0.6618404372261721,0.6928939649538705,0.478172495625185,0.5828911634010204,0.41876747271195885,0.34299480771258034,0.5116070436549234,0.4991883501097068,0.3689786373851982,0.3841992647243309,0.2966651641111488,0.42457401142615825,0.3177873376621532,0.3495680021408338,0.2848578251703022,0.4465474323429488,0.38853530816684045,0.37022060590926886,0.47111286604068353,0.46287613790824267,0.5521875274649217,0.4489707816738358,0.429603840957715,0.5690619077606391,0.5190189874608454,0.7706278730670708
